algorithm,graph,num_hosts,median_ms,count,t1_ms,time_ratio,speedup,efficiency
tc,livejournal,1,372.0,1,372.0,1.0,1.0,1.0
tc,livejournal,2,283.0,1,372.0,0.760752688172043,1.314487632508834,0.657243816254417
tc,livejournal,4,227.0,1,372.0,0.6102150537634409,1.6387665198237886,0.40969162995594716
tc,livejournal,6,216.0,1,372.0,0.5806451612903226,1.7222222222222223,0.28703703703703703
tc,livejournal,8,280.0,1,372.0,0.7526881720430108,1.3285714285714285,0.16607142857142856
tc,rgg,1,72.0,1,72.0,1.0,1.0,1.0
tc,rgg,2,43.0,1,72.0,0.5972222222222222,1.6744186046511629,0.8372093023255814
tc,rgg,4,27.0,1,72.0,0.375,2.6666666666666665,0.6666666666666666
tc,rgg,6,36.0,1,72.0,0.5,2.0,0.3333333333333333
tc,rgg,8,39.0,1,72.0,0.5416666666666666,1.8461538461538463,0.23076923076923078
tc,roadnet,1,9.0,1,9.0,1.0,1.0,1.0
tc,roadnet,2,5.0,1,9.0,0.5555555555555556,1.8,0.9
tc,roadnet,4,8.0,1,9.0,0.8888888888888888,1.125,0.28125
tc,roadnet,6,10.0,1,9.0,1.1111111111111112,0.9,0.15
tc,roadnet,8,10.0,1,9.0,1.1111111111111112,0.9,0.1125
