Graph,Library,Device,Iteration,Time_ms
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,1,191.51
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,2,189.757
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,3,195.652
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,4,188.448
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,5,186.986
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,6,188.204
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,7,190.258
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,8,190.903
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,9,191.007
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,10,190.611
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,11,189.482
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,12,190.401
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,13,191.517
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,14,190.991
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,15,189.424
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,16,189.438
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,17,189.728
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,18,189.477
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,19,189.907
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,20,191.73
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,21,188.153
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,22,187.746
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,23,188.556
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,24,188.637
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,25,188.976
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,26,190.956
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,27,188.83
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,28,192.141
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,29,191.042
soc-LiveJournal1.mtx,LAGraph-Normal,CPU,30,189.209
patents.mtx,LAGraph-Normal,CPU,1,1.436
patents.mtx,LAGraph-Normal,CPU,2,1.496
patents.mtx,LAGraph-Normal,CPU,3,1.459
patents.mtx,LAGraph-Normal,CPU,4,1.474
patents.mtx,LAGraph-Normal,CPU,5,1.435
patents.mtx,LAGraph-Normal,CPU,6,1.452
patents.mtx,LAGraph-Normal,CPU,7,1.48
patents.mtx,LAGraph-Normal,CPU,8,1.625
patents.mtx,LAGraph-Normal,CPU,9,1.492
patents.mtx,LAGraph-Normal,CPU,10,1.464
patents.mtx,LAGraph-Normal,CPU,11,1.495
patents.mtx,LAGraph-Normal,CPU,12,1.549
