Graph,Library,Version,Delta,Iteration,Time_ms
soc-LiveJournal1.mtx,LAGraph,Normal,1.0,1,486.076
soc-LiveJournal1.mtx,LAGraph,Normal,10.0,1,426.22
soc-LiveJournal1.mtx,LAGraph,Normal,100.0,1,418.908
soc-LiveJournal1.mtx,LAGraph,Normal,1000.0,1,426.05
patents.mtx,LAGraph,Normal,1.0,1,9.459
patents.mtx,LAGraph,Normal,10.0,1,9.281
patents.mtx,LAGraph,Normal,100.0,1,9.133
patents.mtx,LAGraph,Normal,1000.0,1,9.388
soc-LiveJournal1.mtx,LAGraph,Sym,1.0,1,1370.2
soc-LiveJournal1.mtx,LAGraph,Sym,10.0,1,963.287
soc-LiveJournal1.mtx,LAGraph,Sym,100.0,1,958.396
soc-LiveJournal1.mtx,LAGraph,Sym,1000.0,1,939.017
patents.mtx,LAGraph,Sym,1.0,1,1238.93
patents.mtx,LAGraph,Sym,10.0,1,602.163
patents.mtx,LAGraph,Sym,100.0,1,593.352
patents.mtx,LAGraph,Sym,1000.0,1,596.027
soc-LiveJournal1.mtx,SPLA,GPU,N/A,1,363.949
patents.mtx,SPLA,GPU,N/A,1,188.92
