Graph,Library,Version,Delta,Iteration,Time_ms
soc-LiveJournal1.mtx,LAGraph,Normal,0.5,1,647.2
soc-LiveJournal1.mtx,LAGraph,Normal,0.5,2,632.272
soc-LiveJournal1.mtx,LAGraph,Normal,0.5,3,630.496
soc-LiveJournal1.mtx,LAGraph,Normal,0.5,4,637.253
soc-LiveJournal1.mtx,LAGraph,Normal,0.5,5,634.639
soc-LiveJournal1.mtx,LAGraph,Normal,1.0,1,541.433
soc-LiveJournal1.mtx,LAGraph,Normal,1.0,2,507.186
soc-LiveJournal1.mtx,LAGraph,Normal,1.0,3,504.042
soc-LiveJournal1.mtx,LAGraph,Normal,1.0,4,505.732
soc-LiveJournal1.mtx,LAGraph,Normal,1.0,5,503.355
soc-LiveJournal1.mtx,LAGraph,Normal,2.0,1,573.395
soc-LiveJournal1.mtx,LAGraph,Normal,2.0,2,550.714
soc-LiveJournal1.mtx,LAGraph,Normal,2.0,3,553.199
soc-LiveJournal1.mtx,LAGraph,Normal,2.0,4,550.759
soc-LiveJournal1.mtx,LAGraph,Normal,2.0,5,556.999
soc-LiveJournal1.mtx,LAGraph,Normal,5.0,1,629.365
soc-LiveJournal1.mtx,LAGraph,Normal,5.0,2,627.612
soc-LiveJournal1.mtx,LAGraph,Normal,5.0,3,629.174
soc-LiveJournal1.mtx,LAGraph,Normal,5.0,4,631.195
soc-LiveJournal1.mtx,LAGraph,Normal,5.0,5,629.713
soc-LiveJournal1.mtx,LAGraph,Normal,7.5,1,433.849
soc-LiveJournal1.mtx,LAGraph,Normal,7.5,2,430.947
soc-LiveJournal1.mtx,LAGraph,Normal,7.5,3,453.451
soc-LiveJournal1.mtx,LAGraph,Normal,7.5,4,435.065
soc-LiveJournal1.mtx,LAGraph,Normal,7.5,5,436.07
soc-LiveJournal1.mtx,LAGraph,Normal,10.0,1,435.155
soc-LiveJournal1.mtx,LAGraph,Normal,10.0,2,437.908
soc-LiveJournal1.mtx,LAGraph,Normal,10.0,3,441.123
soc-LiveJournal1.mtx,LAGraph,Normal,10.0,4,437.8
soc-LiveJournal1.mtx,LAGraph,Normal,10.0,5,440.082
patents.mtx,LAGraph,Normal,0.5,1,8.779
patents.mtx,LAGraph,Normal,0.5,2,8.888
patents.mtx,LAGraph,Normal,0.5,3,8.885
patents.mtx,LAGraph,Normal,0.5,4,8.848
patents.mtx,LAGraph,Normal,0.5,5,8.685
patents.mtx,LAGraph,Normal,1.0,1,8.673
patents.mtx,LAGraph,Normal,1.0,2,8.901
patents.mtx,LAGraph,Normal,1.0,3,8.921
patents.mtx,LAGraph,Normal,1.0,4,8.699
patents.mtx,LAGraph,Normal,1.0,5,8.694
patents.mtx,LAGraph,Normal,2.0,1,8.317
patents.mtx,LAGraph,Normal,2.0,2,8.595
patents.mtx,LAGraph,Normal,2.0,3,8.473
patents.mtx,LAGraph,Normal,2.0,4,8.716
patents.mtx,LAGraph,Normal,2.0,5,8.797
patents.mtx,LAGraph,Normal,5.0,1,8.822
patents.mtx,LAGraph,Normal,5.0,2,8.949
patents.mtx,LAGraph,Normal,5.0,3,8.677
patents.mtx,LAGraph,Normal,5.0,4,8.737
patents.mtx,LAGraph,Normal,5.0,5,8.618
patents.mtx,LAGraph,Normal,7.5,1,8.772
patents.mtx,LAGraph,Normal,7.5,2,8.837
patents.mtx,LAGraph,Normal,7.5,3,8.607
patents.mtx,LAGraph,Normal,7.5,4,8.82
patents.mtx,LAGraph,Normal,7.5,5,8.824
patents.mtx,LAGraph,Normal,10.0,1,8.78
patents.mtx,LAGraph,Normal,10.0,2,8.788
patents.mtx,LAGraph,Normal,10.0,3,8.761
patents.mtx,LAGraph,Normal,10.0,4,8.629
patents.mtx,LAGraph,Normal,10.0,5,8.711
soc-LiveJournal1.mtx,LAGraph,Sym,0.5,1,1159.13
soc-LiveJournal1.mtx,LAGraph,Sym,0.5,2,1141.33
soc-LiveJournal1.mtx,LAGraph,Sym,0.5,3,1144.67
soc-LiveJournal1.mtx,LAGraph,Sym,0.5,4,1141.46
soc-LiveJournal1.mtx,LAGraph,Sym,0.5,5,1144.72
soc-LiveJournal1.mtx,LAGraph,Sym,1.0,1,1423.36
soc-LiveJournal1.mtx,LAGraph,Sym,1.0,2,1423.34
soc-LiveJournal1.mtx,LAGraph,Sym,1.0,3,1417.13
soc-LiveJournal1.mtx,LAGraph,Sym,1.0,4,1421.29
soc-LiveJournal1.mtx,LAGraph,Sym,1.0,5,1406.78
soc-LiveJournal1.mtx,LAGraph,Sym,2.0,1,974.759
soc-LiveJournal1.mtx,LAGraph,Sym,2.0,2,954.913
soc-LiveJournal1.mtx,LAGraph,Sym,2.0,3,975.086
soc-LiveJournal1.mtx,LAGraph,Sym,2.0,4,976.601
soc-LiveJournal1.mtx,LAGraph,Sym,2.0,5,967.611
soc-LiveJournal1.mtx,LAGraph,Sym,5.0,1,951.336
soc-LiveJournal1.mtx,LAGraph,Sym,5.0,2,951.246
soc-LiveJournal1.mtx,LAGraph,Sym,5.0,3,939.762
soc-LiveJournal1.mtx,LAGraph,Sym,5.0,4,940.047
soc-LiveJournal1.mtx,LAGraph,Sym,5.0,5,938.589
soc-LiveJournal1.mtx,LAGraph,Sym,7.5,1,951.822
soc-LiveJournal1.mtx,LAGraph,Sym,7.5,2,933.912
soc-LiveJournal1.mtx,LAGraph,Sym,7.5,3,954.595
soc-LiveJournal1.mtx,LAGraph,Sym,7.5,4,953.67
soc-LiveJournal1.mtx,LAGraph,Sym,7.5,5,959.301
soc-LiveJournal1.mtx,LAGraph,Sym,10.0,1,944
soc-LiveJournal1.mtx,LAGraph,Sym,10.0,2,937.743
soc-LiveJournal1.mtx,LAGraph,Sym,10.0,3,953.829
soc-LiveJournal1.mtx,LAGraph,Sym,10.0,4,921.68
soc-LiveJournal1.mtx,LAGraph,Sym,10.0,5,919.684
patents.mtx,LAGraph,Sym,0.5,1,772.072
patents.mtx,LAGraph,Sym,0.5,2,776.531
patents.mtx,LAGraph,Sym,0.5,3,788.511
patents.mtx,LAGraph,Sym,0.5,4,780.914
patents.mtx,LAGraph,Sym,0.5,5,783.913
patents.mtx,LAGraph,Sym,1.0,1,619.337
patents.mtx,LAGraph,Sym,1.0,2,621.665
patents.mtx,LAGraph,Sym,1.0,3,624.553
patents.mtx,LAGraph,Sym,1.0,4,617.511
patents.mtx,LAGraph,Sym,1.0,5,614.747
patents.mtx,LAGraph,Sym,2.0,1,669.511
patents.mtx,LAGraph,Sym,2.0,2,680.647
patents.mtx,LAGraph,Sym,2.0,3,674.519
patents.mtx,LAGraph,Sym,2.0,4,684.472
patents.mtx,LAGraph,Sym,2.0,5,673.699
patents.mtx,LAGraph,Sym,5.0,1,758.693
patents.mtx,LAGraph,Sym,5.0,2,739.504
patents.mtx,LAGraph,Sym,5.0,3,748.459
patents.mtx,LAGraph,Sym,5.0,4,752.139
patents.mtx,LAGraph,Sym,5.0,5,733.657
patents.mtx,LAGraph,Sym,7.5,1,635.574
patents.mtx,LAGraph,Sym,7.5,2,663.51
patents.mtx,LAGraph,Sym,7.5,3,678.353
patents.mtx,LAGraph,Sym,7.5,4,688.467
patents.mtx,LAGraph,Sym,7.5,5,671.664
patents.mtx,LAGraph,Sym,10.0,1,616.94
patents.mtx,LAGraph,Sym,10.0,2,618.922
patents.mtx,LAGraph,Sym,10.0,3,629.386
patents.mtx,LAGraph,Sym,10.0,4,626.579
patents.mtx,LAGraph,Sym,10.0,5,630.692
soc-LiveJournal1.mtx,SPLA,GPU,N/A,1,408.282
soc-LiveJournal1.mtx,SPLA,GPU,N/A,2,115.506
soc-LiveJournal1.mtx,SPLA,GPU,N/A,3,114.511
soc-LiveJournal1.mtx,SPLA,GPU,N/A,4,115.139
soc-LiveJournal1.mtx,SPLA,GPU,N/A,5,115.601
patents.mtx,SPLA,GPU,N/A,1,204.101
patents.mtx,SPLA,GPU,N/A,2,88.087
patents.mtx,SPLA,GPU,N/A,3,89.439
patents.mtx,SPLA,GPU,N/A,4,87.585
patents.mtx,SPLA,GPU,N/A,5,86.199
