Graph,Library,Method,Sort,Triangles,Time_ms,IterType
roadNet-CA.mtx,LAGraph,Burkhardt,NoSort,120676,135.975,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,NoSort,120676,108.162,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,NoSort,120676,103.462,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,NoSort,120676,104.427,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,NoSort,120676,103.904,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,NoSort,120676,102.379,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,NoSort,120676,103.509,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,NoSort,120676,108.055,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,NoSort,120676,106.123,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,NoSort,120676,104.773,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,Desc,120676,105.947,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,Desc,120676,103.912,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,Desc,120676,152.361,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,Desc,120676,156.969,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,Desc,120676,109.324,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,Desc,120676,110.126,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,Desc,120676,108.719,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,Desc,120676,105.526,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,Desc,120676,109.465,Measured
roadNet-CA.mtx,LAGraph,Burkhardt,Desc,120676,111.205,Measured
roadNet-CA.mtx,LAGraph,Cohen,NoSort,120676,132.854,Measured
roadNet-CA.mtx,LAGraph,Cohen,NoSort,120676,131.301,Measured
roadNet-CA.mtx,LAGraph,Cohen,NoSort,120676,130.254,Measured
roadNet-CA.mtx,LAGraph,Cohen,NoSort,120676,132.25,Measured
roadNet-CA.mtx,LAGraph,Cohen,NoSort,120676,131.72,Measured
roadNet-CA.mtx,LAGraph,Cohen,NoSort,120676,132.218,Measured
roadNet-CA.mtx,LAGraph,Cohen,NoSort,120676,130.727,Measured
roadNet-CA.mtx,LAGraph,Cohen,NoSort,120676,134.737,Measured
roadNet-CA.mtx,LAGraph,Cohen,NoSort,120676,132.724,Measured
roadNet-CA.mtx,LAGraph,Cohen,NoSort,120676,130.265,Measured
roadNet-CA.mtx,LAGraph,Cohen,Desc,120676,133.108,Measured
roadNet-CA.mtx,LAGraph,Cohen,Desc,120676,130.607,Measured
roadNet-CA.mtx,LAGraph,Cohen,Desc,120676,132.447,Measured
roadNet-CA.mtx,LAGraph,Cohen,Desc,120676,131,Measured
roadNet-CA.mtx,LAGraph,Cohen,Desc,120676,131.935,Measured
roadNet-CA.mtx,LAGraph,Cohen,Desc,120676,129.112,Measured
roadNet-CA.mtx,LAGraph,Cohen,Desc,120676,127.156,Measured
roadNet-CA.mtx,LAGraph,Cohen,Desc,120676,131.822,Measured
roadNet-CA.mtx,LAGraph,Cohen,Desc,120676,131.574,Measured
roadNet-CA.mtx,LAGraph,Cohen,Desc,120676,128.809,Measured
roadNet-CA.mtx,LAGraph,Sandia_LL,NoSort,120676,91.773,Measured
roadNet-CA.mtx,LAGraph,Sandia_LL,NoSort,120676,87.994,Measured
roadNet-CA.mtx,LAGraph,Sandia_LL,NoSort,120676,86.598,Measured
roadNet-CA.mtx,LAGraph,Sandia_LL,NoSort,120676,92.416,Measured
roadNet-CA.mtx,LAGraph,Sandia_LL,NoSort,120676,87.705,Measured
