Graph,LibraryMode,Mode,Iteration,Time_ms,Visited
soc-LiveJournal1.mtx,LAGraph directed,directed,1,241.349,4400347
soc-LiveJournal1.mtx,LAGraph directed,directed,2,242.977,4400347
soc-LiveJournal1.mtx,LAGraph directed,directed,3,232.054,4400347
soc-LiveJournal1.mtx,LAGraph directed,directed,4,233.302,4400347
soc-LiveJournal1.mtx,LAGraph directed,directed,5,238.755,4400347
soc-LiveJournal1.mtx,LAGraph directed,directed,6,236.419,4400347
soc-LiveJournal1.mtx,LAGraph directed,directed,7,234.341,4400347
soc-LiveJournal1.mtx,LAGraph directed,directed,8,241.544,4400347
soc-LiveJournal1.mtx,LAGraph directed,directed,9,239.348,4400347
soc-LiveJournal1.mtx,LAGraph directed,directed,10,238.775,4400347
soc-LiveJournal1.mtx,LAGraph directed,directed,11,236.108,4400347
soc-LiveJournal1.mtx,LAGraph directed,directed,12,238.896,4400347
soc-LiveJournal1.mtx,LAGraph directed,directed,13,238.838,4400347
soc-LiveJournal1.mtx,LAGraph directed,directed,14,239.812,4400347
soc-LiveJournal1.mtx,LAGraph directed,directed,15,240.595,4400347
soc-LiveJournal1.mtx,LAGraph undirected,undirected,1,162.847,4843953
soc-LiveJournal1.mtx,LAGraph undirected,undirected,2,200.253,4843953
soc-LiveJournal1.mtx,LAGraph undirected,undirected,3,164.128,4843953
soc-LiveJournal1.mtx,LAGraph undirected,undirected,4,162.992,4843953
soc-LiveJournal1.mtx,LAGraph undirected,undirected,5,161.966,4843953
soc-LiveJournal1.mtx,LAGraph undirected,undirected,6,161.84,4843953
soc-LiveJournal1.mtx,LAGraph undirected,undirected,7,164.235,4843953
soc-LiveJournal1.mtx,LAGraph undirected,undirected,8,160.731,4843953
soc-LiveJournal1.mtx,LAGraph undirected,undirected,9,165.373,4843953
soc-LiveJournal1.mtx,LAGraph undirected,undirected,10,168.022,4843953
soc-LiveJournal1.mtx,LAGraph undirected,undirected,11,167.315,4843953
soc-LiveJournal1.mtx,LAGraph undirected,undirected,12,169.972,4843953
soc-LiveJournal1.mtx,LAGraph undirected,undirected,13,165.604,4843953
