Graph,Library,Device,Iteration,TotalTime_ms,MS_per_Iter,PRIters
soc-LiveJournal1.mtx,LAGraph,CPU,1,1811.238,72.449520,25
soc-LiveJournal1.mtx,LAGraph,CPU,2,1879.246,75.169840,25
soc-LiveJournal1.mtx,LAGraph,CPU,3,1828.475,73.139000,25
soc-LiveJournal1.mtx,LAGraph,CPU,4,1844.911,73.796440,25
soc-LiveJournal1.mtx,LAGraph,CPU,5,1870.295,74.811800,25
soc-LiveJournal1.mtx,LAGraph,CPU,6,1886.380,75.455200,25
soc-LiveJournal1.mtx,LAGraph,CPU,7,1846.975,73.879000,25
soc-LiveJournal1.mtx,LAGraph,CPU,8,1838.865,73.554600,25
soc-LiveJournal1.mtx,LAGraph,CPU,9,1877.120,75.084800,25
soc-LiveJournal1.mtx,LAGraph,CPU,10,1865.969,74.638760,25
soc-LiveJournal1.mtx,LAGraph,CPU,11,1864.704,74.588160,25
soc-LiveJournal1.mtx,LAGraph,CPU,12,1892.240,75.689600,25
soc-LiveJournal1.mtx,LAGraph,CPU,13,1901.906,76.076240,25
soc-LiveJournal1.mtx,LAGraph,CPU,14,1855.163,74.206520,25
soc-LiveJournal1.mtx,LAGraph,CPU,15,1865.982,74.639280,25
roadNet-CA.mtx,LAGraph,CPU,1,333.718,9.815235,34
roadNet-CA.mtx,LAGraph,CPU,2,336.090,9.885000,34
roadNet-CA.mtx,LAGraph,CPU,3,345.190,10.152647,34
roadNet-CA.mtx,LAGraph,CPU,4,336.615,9.900441,34
roadNet-CA.mtx,LAGraph,CPU,5,332.599,9.782324,34
roadNet-CA.mtx,LAGraph,CPU,6,329.698,9.697000,34
roadNet-CA.mtx,LAGraph,CPU,7,327.875,9.643382,34
roadNet-CA.mtx,LAGraph,CPU,8,333.067,9.796088,34
roadNet-CA.mtx,LAGraph,CPU,9,338.800,9.964706,34
roadNet-CA.mtx,LAGraph,CPU,10,335.430,9.865588,34
roadNet-CA.mtx,LAGraph,CPU,11,335.473,9.866853,34
roadNet-CA.mtx,LAGraph,CPU,12,336.371,9.893265,34
roadNet-CA.mtx,LAGraph,CPU,13,330.185,9.711324,34
roadNet-CA.mtx,LAGraph,CPU,14,338.476,9.955176,34
roadNet-CA.mtx,LAGraph,CPU,15,338.660,9.960588,34
rgg_n_2_22_s0.mtx,LAGraph,CPU,1,881.492,46.394316,19
rgg_n_2_22_s0.mtx,LAGraph,CPU,2,883.230,46.485789,19
rgg_n_2_22_s0.mtx,LAGraph,CPU,3,888.781,46.777947,19
rgg_n_2_22_s0.mtx,LAGraph,CPU,4,887.242,46.696947,19
rgg_n_2_22_s0.mtx,LAGraph,CPU,5,889.349,46.807842,19
rgg_n_2_22_s0.mtx,LAGraph,CPU,6,889.082,46.793789,19
rgg_n_2_22_s0.mtx,LAGraph,CPU,7,892.043,46.949632,19
rgg_n_2_22_s0.mtx,LAGraph,CPU,8,904.232,47.591158,19
rgg_n_2_22_s0.mtx,LAGraph,CPU,9,907.619,47.769421,19
rgg_n_2_22_s0.mtx,LAGraph,CPU,10,916.954,48.260737,19
rgg_n_2_22_s0.mtx,LAGraph,CPU,11,904.212,47.590105,19
rgg_n_2_22_s0.mtx,LAGraph,CPU,12,903.056,47.529263,19
rgg_n_2_22_s0.mtx,LAGraph,CPU,13,901.101,47.426368,19
rgg_n_2_22_s0.mtx,LAGraph,CPU,14,894.351,47.071105,19
rgg_n_2_22_s0.mtx,LAGraph,CPU,15,898.625,47.296053,19
soc-LiveJournal1.mtx,SPLA,GPU,1,613.498,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,2,57.072,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,3,59.431,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,4,57.693,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,5,58.947,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,6,58.125,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,7,57.723,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,8,57.157,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,9,57.656,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,10,57.16,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,11,57.088,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,12,57.698,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,13,58.095,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,14,57.916,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,15,57.437,N/A,-1
soc-LiveJournal1.mtx,SPLA,GPU,16,57.506,N/A,-1
roadNet-CA.mtx,SPLA,GPU,1,42.557,N/A,-1
roadNet-CA.mtx,SPLA,GPU,2,13.567,N/A,-1
roadNet-CA.mtx,SPLA,GPU,3,14.342,N/A,-1
roadNet-CA.mtx,SPLA,GPU,4,14.097,N/A,-1
roadNet-CA.mtx,SPLA,GPU,5,14.357,N/A,-1
roadNet-CA.mtx,SPLA,GPU,6,14.366,N/A,-1
roadNet-CA.mtx,SPLA,GPU,7,14.113,N/A,-1
roadNet-CA.mtx,SPLA,GPU,8,14.137,N/A,-1
roadNet-CA.mtx,SPLA,GPU,9,14.221,N/A,-1
roadNet-CA.mtx,SPLA,GPU,10,14.856,N/A,-1
roadNet-CA.mtx,SPLA,GPU,11,14.842,N/A,-1
roadNet-CA.mtx,SPLA,GPU,12,14.67,N/A,-1
roadNet-CA.mtx,SPLA,GPU,13,14.421,N/A,-1
roadNet-CA.mtx,SPLA,GPU,14,14.502,N/A,-1
roadNet-CA.mtx,SPLA,GPU,15,14.157,N/A,-1
roadNet-CA.mtx,SPLA,GPU,16,14.058,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,1,157.439,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,2,25.962,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,3,24.784,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,4,22.801,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,5,22.889,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,6,23.194,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,7,21.911,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,8,23.071,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,9,22.794,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,10,22.634,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,11,22.969,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,12,24.259,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,13,23.503,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,14,24.039,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,15,23.315,N/A,-1
rgg_n_2_22_s0.mtx,SPLA,GPU,16,23.07,N/A,-1
